Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H4,2014,2014,2014,6,1,2,Export,191,Croatia,HRV,0,World,WLD,090121,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",8,Weight in kilograms,1531465,1531465,10766750,0
H4,2014,2014,2014,6,1,1,Import,196,Cyprus,CYP,0,World,WLD,090121,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",8,Weight in kilograms,498323,498323,6440073,0
H4,2014,2014,2014,6,1,2,Export,196,Cyprus,CYP,0,World,WLD,090121,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",8,Weight in kilograms,63812,63812,824330,0
H4,2014,2014,2014,6,1,3,Re-Export,196,Cyprus,CYP,0,World,WLD,090121,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",8,Weight in kilograms,6,6,84,0
H4,2014,2014,2014,6,1,1,Import,203,Czech Rep.,CZE,0,World,WLD,090121,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",8,Weight in kilograms,30992020,30992020,199269883,0
H4,2014,2014,2014,6,1,2,Export,203,Czech Rep.,CZE,0,World,WLD,090121,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",8,Weight in kilograms,25586901,25586901,175541551,0
H4,2014,2014,2014,6,1,1,Import,208,Denmark,DNK,0,World,WLD,090121,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",8,Weight in kilograms,21624009,21624009,132421027,0
H4,2014,2014,2014,6,1,2,Export,208,Denmark,DNK,0,World,WLD,090121,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",8,Weight in kilograms,3689173,3689173,33656155,6
H4,2014,2014,2014,6,1,1,Import,214,Dominican Rep.,DOM,0,World,WLD,090121,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",8,Weight in kilograms,97633,97633,867073,6
H4,2014,2014,2014,6,1,2,Export,214,Dominican Rep.,DOM,0,World,WLD,090121,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",8,Weight in kilograms,1649482,1649482,6812896,0
H4,2014,2014,2014,6,1,1,Import,218,Ecuador,ECU,0,World,WLD,090121,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",8,Weight in kilograms,129183,129183,1179447,0
H4,2014,2014,2014,6,1,2,Export,218,Ecuador,ECU,0,World,WLD,090121,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",8,Weight in kilograms,94141,94141,813280,0
H4,2014,2014,2014,6,1,1,Import,222,El Salvador,SLV,0,World,WLD,090121,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",8,Weight in kilograms,520784,520784,2600518,0
H4,2014,2014,2014,6,1,2,Export,222,El Salvador,SLV,0,World,WLD,090121,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",8,Weight in kilograms,25996,25996,195613,0
H4,2014,2014,2014,6,1,1,Import,233,Estonia,EST,0,World,WLD,090121,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",8,Weight in kilograms,5422209,5422209,36473302,0
H4,2014,2014,2014,6,1,2,Export,233,Estonia,EST,0,World,WLD,090121,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",8,Weight in kilograms,615006,615006,5591547,0
H4,2014,2014,2014,6,1,1,Import,242,Fiji,FJI,0,World,WLD,090121,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",8,Weight in kilograms,25214,25214,142939,0
H4,2014,2014,2014,6,1,1,Import,246,Finland,FIN,0,World,WLD,090121,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",8,Weight in kilograms,7058619,7058619,53085847,6
H4,2014,2014,2014,6,1,2,Export,246,Finland,FIN,0,World,WLD,090121,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",8,Weight in kilograms,6909586,6909586,39704879,0
H4,2014,2014,2014,6,1,1,Import,251,France,FRA,0,World,WLD,090121,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",8,Weight in kilograms,111825288,111825288,1761229041,6
H4,2014,2014,2014,6,1,2,Export,251,France,FRA,0,World,WLD,090121,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",8,Weight in kilograms,23300182,23300182,702826058,0
H4,2014,2014,2014,6,1,4,Re-Import,251,France,FRA,0,World,WLD,090121,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",8,Weight in kilograms,4001651,4001651,22184695,0
H4,2014,2014,2014,6,1,1,Import,268,Georgia,GEO,0,World,WLD,090121,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",8,Weight in kilograms,799927,799927,4651893,0
